Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
BillsBills,259,92,17,5,94,19.0,1105
BengalsBengals,214,94,13,8,109,24.6,1047
BroncosBroncos,217,78,16,7,67,19.4,951
PatriotsPatriots,228,82,22,12,102,23.5,1063
VikingsVikings,211,70,17,10,117,26.3,1025
ChargersChargers,243,102,19,9,92,21.4,1100
BearsBears,206,79,14,8,87,20.4,982
PanthersPanthers,219,71,22,7,69,18.4,990
CardinalsCardinals,218,90,10,5,120,23.4,1062
JetsJets,215,86,12,7,119,22.1,1023
RaidersRaiders,217,74,14,7,97,21.0,1010
BuccaneersBuccaneers,214,87,13,10,114,26.0,976
PackersPackers,226,74,22,14,74,18.5,981
DolphinsDolphins,193,65,24,11,91,22.1,987
EaglesEagles,215,84,14,5,87,20.7,961
ChiefsChiefs,218,92,10,3,84,19.0,1008
GiantsGiants,222,76,18,7,98,20.1,1050
49ers49ers,232,78,20,9,76,18.2,1021
CowboysCowboys,212,73,20,12,89,20.4,958
RamsRams,226,95,21,13,114,23.8,1068
SteelersSteelers,213,77,11,4,80,19.5,1009
ColtsColts,221,88,15,11,108,23.5,1022
JaguarsJaguars,211,93,8,3,110,24.6,992
RedskinsRedskins,228,100,15,10,146,28.1,1113
SeahawksSeahawks,211,80,15,7,114,22.5,1066
OilersOilers,199,70,12,4,78,19.6,956
RavensRavens,224,108,13,7,115,22.6,1075
SaintsSaints,232,85,16,9,104,20.0,1027
FalconsFalcons,206,87,6,2,102,21.6,994
LionsLions,220,95,15,8,126,24.7,1044
