Team,Rsh TD,Rec TD,Tot TD,2-PT
RavensRavens,22,21,46,0
DolphinsDolphins,22,15,40,1
SaintsSaints,21,34,61,0
JetsJets,21,12,36,0
PackersPackers,20,30,53,0
TitansTitans,19,16,39,1
JaguarsJaguars,19,15,34,1
VikingsVikings,19,34,55,0
PatriotsPatriots,19,28,50,0
PanthersPanthers,18,16,35,1
ChargersChargers,17,29,49,0
ColtsColts,16,34,53,0
CardinalsCardinals,16,27,46,0
FalconsFalcons,15,26,42,0
CowboysCowboys,14,26,43,1
GiantsGiants,14,28,45,0
EaglesEagles,14,27,45,0
TexansTexans,13,29,45,0
NinersNiners,12,23,37,0
BrownsBrowns,10,11,25,1
SteelersSteelers,10,28,40,0
BengalsBengals,9,21,33,1
BroncosBroncos,9,21,32,0
LionsLions,9,16,27,0
ChiefsChiefs,8,18,30,0
RedskinsRedskins,8,21,29,0
RaidersRaiders,7,10,17,0
SeahawksSeahawks,7,20,29,0
BillsBills,6,17,25,0
BearsBears,6,27,36,0
BuccaneersBuccaneers,5,18,28,1
RamsRams,4,12,17,0
